City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,282.11,86,0,1.05,ZA,1726517199
1,blackmans bay,-43.0167,147.3167,281.22,71,100,0.45,AU,1726517104
2,tobruk,32.0836,23.9764,298.39,56,0,2.37,LY,1726517201
3,albany,42.6001,-73.9662,301.99,42,36,0.45,US,1726517159
4,currumbin waters,-28.1553,153.4613,285.38,92,1,2.06,AU,1726517203
5,pisco,-13.7,-76.2167,291.49,77,2,4.15,PE,1726517204
6,waitangi,-43.9535,-176.5597,284.16,95,100,4.47,NZ,1726517103
7,carnarvon,-24.8667,113.6333,293.87,37,0,6.26,AU,1726517206
8,port-aux-francais,-49.35,70.2167,277.48,95,100,16.55,TF,1726517100
9,grytviken,-54.2811,-36.5092,272.27,82,58,5.79,GS,1726517071
10,olonkinbyen,70.9221,-8.7187,273.8,83,100,5.44,SJ,1726517099
11,tazacorte,28.629,-17.9293,295.69,73,20,4.63,ES,1726517211
12,puerto natales,-51.7236,-72.4875,284.4,58,75,13.38,CL,1726517089
13,kodiak,57.79,-152.4072,286.88,51,20,3.09,US,1726517213
14,punta arenas,-53.15,-70.9167,284.21,58,0,13.38,CL,1726517214
15,wer,27.0,77.1667,299.75,61,54,2.77,IN,1726517215
16,jamestown,42.097,-79.2353,300.38,37,0,3.6,US,1726517216
17,tazovsky,67.4667,78.7,279.19,93,66,3.91,RU,1726517217
18,inongo,-1.95,18.2667,297.1,72,65,1.7,CD,1726517218
19,la passe,45.5549,-0.8967,289.38,59,17,4.85,FR,1726517219
20,yellowknife,62.456,-114.3525,286.16,94,100,6.17,CA,1726517143
21,dryden,49.7833,-92.7503,296.31,68,100,4.63,CA,1726517223
22,brisas de zicatela,15.8369,-97.0419,305.44,84,75,3.6,MX,1726517224
23,morogoro,-6.8167,37.6667,294.67,76,10,2.52,TZ,1726517225
24,badger,64.8,-147.5333,281.1,90,100,3.6,US,1726517226
25,chui,-33.6971,-53.4616,290.32,66,0,2.87,UY,1726517227
26,togur,58.3631,82.8265,275.65,79,29,1.58,RU,1726517228
27,puerto ayora,-0.7393,-90.3518,294.57,94,90,3.58,EC,1726517229
28,tsiombe,-25.3,45.4833,293.76,85,10,1.71,MG,1726517230
29,asau,46.4333,26.4,285.12,90,0,1.97,RO,1726517231
30,invercargill,-46.4,168.35,277.6,72,100,6.26,NZ,1726517091
31,ust-tsilma,65.441,52.1498,288.06,70,100,2.34,RU,1726517233
32,ust-nera,64.5667,143.2,274.25,87,100,2.79,RU,1726517234
33,aykhal,66.0,111.5,274.87,96,100,8.6,RU,1726517236
34,iqaluit,63.7506,-68.5145,277.0,86,100,9.26,CA,1726517086
35,nchelenge,-9.3451,28.734,297.79,34,0,1.89,ZM,1726517238
36,ushuaia,-54.8,-68.3,282.96,50,75,8.75,AR,1726517123
37,thompson,55.7435,-97.8558,294.83,42,6,2.54,CA,1726517241
38,constantia,44.1833,28.65,288.53,61,8,4.98,RO,1726517242
39,whitehorse,60.7161,-135.0538,284.58,67,75,5.66,CA,1726517243
40,sitka,57.0531,-135.33,286.09,88,100,2.06,US,1726517244
41,stanley,54.868,-1.6985,283.16,87,0,1.03,GB,1726517245
42,bilibino,68.0546,166.4372,272.49,97,99,1.3,RU,1726517117
43,adamstown,-25.066,-130.1015,292.51,88,100,10.1,PN,1726517084
44,monte azul,-15.155,-42.8747,305.68,21,1,1.81,BR,1726517249
45,montelibano,7.9829,-75.4229,305.47,69,70,3.53,CO,1726517250
46,pangoa,-12.1167,-73.0,305.74,33,37,3.0,PE,1726517251
47,nyandoma,61.669,40.1991,286.4,91,64,1.8,RU,1726517252
48,hamilton,39.1834,-84.5333,305.24,34,0,4.12,US,1726517129
49,bethel,41.3712,-73.414,299.47,47,0,2.57,US,1726517114
50,port saint john's,-31.6229,29.5448,291.37,82,100,0.77,ZA,1726517047
51,hammerfest,70.6634,23.6821,284.4,76,0,0.0,NO,1726517256
52,haiku-pauwela,20.9219,-156.3051,301.62,72,75,10.8,US,1726517257
53,georgetown,5.4112,100.3354,299.11,88,20,2.57,MY,1726517150
54,carauari,-4.8828,-66.8958,307.32,43,53,3.66,BR,1726517259
55,la rioja,42.25,-2.5,285.03,75,85,2.11,ES,1726517260
56,wailua homesteads,22.0669,-159.378,300.59,81,100,8.23,US,1726517134
57,brandon,27.9378,-82.2859,305.96,66,40,1.79,US,1726517098
58,zeralda,36.7117,2.8424,296.77,54,1,5.56,DZ,1726517264
59,port lincoln,-34.7333,135.8667,283.14,80,0,3.68,AU,1726517265
60,klyuchi,52.2667,79.1667,278.81,56,83,3.32,RU,1726517093
61,vila franca do campo,37.7167,-25.4333,296.38,75,63,2.53,PT,1726517268
62,axim,4.8699,-2.2405,297.19,88,43,3.4,GH,1726517269
63,new norfolk,-42.7826,147.0587,281.32,85,100,3.49,AU,1726517271
64,rio grande,-32.035,-52.0986,289.59,73,0,3.08,BR,1726517272
65,hengchun,22.0042,120.7439,300.98,83,100,11.28,TW,1726517273
66,west island,-12.1568,96.8225,299.14,69,18,7.2,CC,1726517121
67,margaret river,-33.95,115.0667,284.3,78,0,1.98,AU,1726517169
68,port elizabeth,-33.918,25.5701,288.32,82,0,2.06,ZA,1726517153
69,tual,-5.6667,132.75,299.75,84,100,6.8,ID,1726517278
70,stephenville,32.2207,-98.2023,305.51,54,40,2.57,US,1726517279
71,atafu village,-8.5421,-172.5159,300.94,75,20,3.94,TK,1726517280
72,st. john's,47.5649,-52.7093,293.69,65,95,6.26,CA,1726517281
73,hermanus,-34.4187,19.2345,283.6,76,0,4.41,ZA,1726517133
74,progreso,21.2833,-89.6667,303.69,88,85,5.38,MX,1726517283
75,'ain benian,36.8028,2.9219,296.18,54,2,6.03,DZ,1726517284
76,paragominas,-2.9667,-47.4833,307.97,32,100,1.73,BR,1726517285
77,dunedin,-45.8742,170.5036,277.48,70,11,2.24,NZ,1726517286
78,tafuna,-14.3358,-170.72,302.12,74,40,3.09,AS,1726517288
79,fortaleza,-3.7227,-38.5247,301.22,65,0,5.66,BR,1726517241
80,naciria,36.7463,3.8316,292.22,61,3,0.79,DZ,1726517290
81,lobujya,27.95,86.8167,273.26,96,98,1.34,NP,1726517291
82,college,64.8569,-147.8028,281.14,84,100,3.6,US,1726517056
83,kristiansund,63.1115,7.732,284.89,87,75,1.54,NO,1726517294
84,puerto deseado,-47.7503,-65.8938,287.38,38,93,10.32,AR,1726517295
85,harper,4.375,-7.7169,297.88,85,95,2.88,LR,1726517296
86,hasaki,35.7333,140.8333,296.6,90,36,1.86,JP,1726517297
87,watsa,3.0372,29.5355,291.6,96,56,0.75,CD,1726517298
88,daru,-9.0763,143.2092,297.31,91,100,9.0,PG,1726517299
89,mossendjo,-2.9506,12.7261,297.09,76,100,1.63,CG,1726517301
90,edinburgh of the seven seas,-37.0676,-12.3116,283.96,70,45,16.82,SH,1726517080
91,nuriootpa,-34.4833,139.0,275.25,84,0,1.47,AU,1726517303
92,mindelheim,48.05,10.4833,281.83,90,100,4.63,DE,1726517304
93,tiksi,71.6872,128.8694,274.21,94,100,5.89,RU,1726517115
94,hithadhoo,-0.6,73.0833,301.94,75,99,4.94,MV,1726517306
95,puerto baquerizo moreno,-0.9,-89.6,296.7,73,75,5.14,EC,1726517041
96,guarda,40.5373,-7.2658,292.16,21,3,4.27,PT,1726517308
97,kuruman,-27.4524,23.4325,291.21,31,100,3.2,ZA,1726517309
98,papatowai,-46.5619,169.4708,276.45,81,100,7.71,NZ,1726517310
99,al hawatah,13.4167,34.6333,296.2,91,100,4.14,SD,1726517311
100,bijar,35.8668,47.6051,290.14,33,0,3.3,IR,1726517312
101,tavda,58.0425,65.2726,279.27,69,2,1.67,RU,1726517315
102,lormi,22.2833,81.7333,298.46,73,100,4.72,IN,1726517316
103,birao,10.2849,22.7882,296.52,94,79,0.88,CF,1726517171
104,lazaro cardenas,17.9583,-102.2,303.36,73,59,2.73,MX,1726517318
105,bubaque,11.2833,-15.8333,299.63,82,100,7.28,GW,1726517161
106,sao joao da barra,-21.6403,-41.0511,299.2,82,0,9.21,BR,1726517158
107,port blair,11.6667,92.75,301.07,75,9,5.79,IN,1726517321
108,lebu,-37.6167,-73.65,284.51,66,100,6.9,CL,1726517146
109,contamana,-7.3333,-75.0167,300.15,73,73,1.89,PE,1726517323
